alignment_id,member_id,recovery_id,record_id,article_headword,surface_form,printed_page,same_major_left,same_minor_left,previous_major_clause,left_window,right_window,ai_reviewed,ai_local_label,human_reviewed
RHD-AMEKE-LCTX-0001,RHD-AMEKE-00104,RHD-RREC-000111,RHD-S1809-00001,Abgehen,Simiameke,301,Abgehend,Abgehend,"Abgehen, Nehé simi","Abgehen, Nehé simi. Abgehend","Simiameke. Es gehet ab, Róco. Taitéki, taitéke",False,,False
RHD-AMEKE-LCTX-0002,RHD-AMEKE-00124,RHD-RREC-000083,RHD-S1809-00003,Abhauen,Tepulirúgameke,301,,,"Abgehauen, Sikirúgameke","Abhauen, Siká, tepurá, tepulá. Abgehauen, Sikirúgameke",Tepulirúgameke,False,,False
RHD-AMEKE-LCTX-0003,RHD-AMEKE-00075,RHD-RREC-000034,RHD-S1809-00011,Abwaſchen,Pagorúgameke,301,Abgewaſchen,Abgewaſchen,"Abwaſchen, Pagota","Abwaſchen, Pagota. Abgewaſchen",Pagorúgameke,False,,False
RHD-AMEKE-LCTX-0004,RHD-AMEKE-00033,RHD-RREC-000227,RHD-S1809-00007,Abſchicken,Hulirúgameke,301,Abgeſchickt,Abgeſchickt,"Abſchicken, Hulá","Abſchicken, Hulá. Abgeſchickt",Hulirúgameke,False,,False
RHD-AMEKE-LCTX-0005,RHD-AMEKE-00044,RHD-RREC-000244,RHD-S1809-00073,Allwiſſend,Jumámatsigameke,301,,,Allwiſſend,Allwiſſend,Jumámatsigameke,False,,False
RHD-AMEKE-LCTX-0006,RHD-AMEKE-00071,RHD-RREC-000211,RHD-S1809-00133,Arzney,Oguéameke,304,,,Arzney,Arzney,Oguéameke,False,,False
RHD-AMEKE-LCTX-0007,RHD-AMEKE-00021,RHD-RREC-000110,RHD-S1809-00178,Bärtig,Etſchaguéameke,307,,,Bärtig,Bärtig,"Etſchaguéameke. Weil den Tarahumaren kein Bart wächſt, ſo werden bey ihnen die Europäer unter dieſem",False,,False
RHD-AMEKE-LCTX-0008,RHD-AMEKE-00083,RHD-RREC-000017,RHD-S1809-00194,Bedecken,Polirúgameke,308,Bedeckt,Bedeckt,Poliruc,Bedecken. Polé. Es iſt bedeckt. Poliruc. Bedeckt,Polirúgameke,False,,False
RHD-AMEKE-LCTX-0009,RHD-AMEKE-00131,RHD-RREC-000228,RHD-S1809-00211,Bejahen,Tſaníjameke,308,,,Bejahend,Bejahen. Tſaní. Bejahend,Tſaníjameke,False,,False
RHD-AMEKE-LCTX-0010,RHD-AMEKE-00088,RHD-RREC-000230,RHD-S1809-00225,Benennt,Reguámeke,308,,,"Benennt, was einen Namen hat","Benennt, was einen Namen hat",Reguámeke,False,,False
RHD-AMEKE-LCTX-0011,RHD-AMEKE-00054,RHD-RREC-000048,RHD-S1809-00261,Bewußt,Matſchigameke,309,,,Bewußt,Bewußt,Matſchigameke,False,,False
RHD-AMEKE-LCTX-0012,RHD-AMEKE-00029,RHD-RREC-000313,RHD-S1809-00275,Blech,Guenomi tſchipérameke,309,,,Blech,Blech,"Guenomi tſchipérameke, das heißt, ein dünnes Metall",False,,False
RHD-AMEKE-LCTX-0013,RHD-AMEKE-00114,RHD-RREC-000317,RHD-S1809-00277,Blind,Támatiſchigameke,309,,,Blind,Blind,"Támatiſchigameke, nicht ſehend",False,,False
RHD-AMEKE-LCTX-0014,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00278,Blitzen,Repágameke,309,,,"Blitzen, das","Blitzen, das",Repágameke. Es blitzt. Repá,False,,False
RHD-AMEKE-LCTX-0015,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00278,Blitzen,repágameke,309,,,"Blitzen, das","Blitzen, das",Repágameke. Es blitzt. Repá,False,,False
RHD-AMEKE-LCTX-0016,RHD-AMEKE-00083,RHD-RREC-000017,RHD-S1809-00321,Decken,Polirúgameke,312,Gedeckt,Gedeckt,Pole,Decken. Pole. Gedeckt,Polirúgameke,False,,False
RHD-AMEKE-LCTX-0017,RHD-AMEKE-00095,RHD-RREC-000157,RHD-S1809-00361,Dürr,Sakiameke,313,,,Dürr,Dürr,Sakiameke,False,,False
RHD-AMEKE-LCTX-0018,RHD-AMEKE-00060,RHD-RREC-000089,RHD-S1809-00375,Ehemann,Mukíameke,313,,,Upíameke,Ehemann. Cuná. Cunála. Upíameke,Mukíameke,False,,False
RHD-AMEKE-LCTX-0019,RHD-AMEKE-00059,RHD-RREC-000274,RHD-S1809-00378,Eheweib,Muki cunéameke,313,,,Eheweib,Eheweib,Muki cunéameke. Upi. Upila,False,,False
RHD-AMEKE-LCTX-0020,RHD-AMEKE-00035,RHD-RREC-000286,RHD-S1809-00389,Eingebohrner,Ibe motſchiameke,313,Ibe jaſſameke,Ibe jaſſameke,Eingebohrner,Eingebohrner. Ibe jaſſameke,Ibe motſchiameke,False,,False
RHD-AMEKE-LCTX-0021,RHD-AMEKE-00054,RHD-RREC-000048,RHD-S1809-00429,Erfahren,Matſchigameke,315,,,"Erfahren, das Beywort","Erfahren, das Beywort",Matſchigameke,False,,False
RHD-AMEKE-LCTX-0022,RHD-AMEKE-00132,RHD-RREC-000099,RHD-S1809-00431,Ergreifen,tſchapirúgameke,315,Ergriffen,Ergriffen,Tſchapirúc,Ergreifen. Tſchepi. Es iſt ergriffen. Tſchapirúc. Ergriffen,tſchapirúgameke,False,,False
RHD-AMEKE-LCTX-0023,RHD-AMEKE-00048,RHD-RREC-000181,RHD-S1809-00438,Ermüden,Leſiameke,315,Ermüdet,Ermüdet,Leſi,Ermüden. Leſi. Ermüdet,Leſiameke,False,,False
RHD-AMEKE-LCTX-0024,RHD-AMEKE-00069,RHD-RREC-000172,RHD-S1809-00443,Erſchaffer,Netéjameke,315,,,Erſchaffer,Erſchaffer,Netéjameke,False,,False
RHD-AMEKE-LCTX-0025,RHD-AMEKE-00066,RHD-RREC-000134,RHD-S1809-00473,Faul,Naſsiameke,316,,,Faul,Faul,Naſsiameke,False,,False
RHD-AMEKE-LCTX-0026,RHD-AMEKE-00081,RHD-RREC-000006,RHD-S1809-00490,Feſt,Peguámeké,316,,,Iguéameke,Feſt. Iguéameke,Peguámeké. Feſtmachen. Iguéruje,False,,False
RHD-AMEKE-LCTX-0027,RHD-AMEKE-00097,RHD-RREC-000116,RHD-S1809-00512,Fleiſchig,Sapéameke,318,,,Fleiſchig,Fleiſchig,Sapéameke,False,,False
RHD-AMEKE-LCTX-0028,RHD-AMEKE-00126,RHD-RREC-000043,RHD-S1809-00543,Froſtig,Thúlameke,319,,,Froſtig,Froſtig,Thúlameke,False,,False
RHD-AMEKE-LCTX-0029,RHD-AMEKE-00052,RHD-RREC-000152,RHD-S1809-00550,Furchtſam,Mahajámeke,319,,,Furchtſam,Furchtſam,Mahajámeke,False,,False
RHD-AMEKE-LCTX-0030,RHD-AMEKE-00027,RHD-RREC-000221,RHD-S1809-00573,Gebraten,Guauguérúgameke,320,,,Gebraten,Gebraten,Guauguérúgameke,False,,False
RHD-AMEKE-LCTX-0031,RHD-AMEKE-00054,RHD-RREC-000048,RHD-S1809-00590,Gelehrt,Matſchigameke,320,,,Gelehrt,Gelehrt,Matſchigameke,False,,False
RHD-AMEKE-LCTX-0032,RHD-AMEKE-00024,RHD-RREC-000265,RHD-S1809-00600,Geſegnet,Galatſaneliameke,320,,,Geſegnet,Geſegnet,Galatſaneliameke,False,,False
RHD-AMEKE-LCTX-0033,RHD-AMEKE-00037,RHD-RREC-000250,RHD-S1809-00607,Getauft,Ipagatúgameke,321,,,Sie pflegen auch zu ſagen,Getauft. Pagorúgameke. Sie pflegen auch zu ſagen,Ipagatúgameke,False,,False
RHD-AMEKE-LCTX-0034,RHD-AMEKE-00075,RHD-RREC-000034,RHD-S1809-00607,Getauft,Pagorúgameke,321,,,Getauft,Getauft,Pagorúgameke. Sie pflegen auch zu ſagen: Ipagatúgameke,False,,False
RHD-AMEKE-LCTX-0035,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00623,Glänzend,Repágameke,322,,,Glänzend,Glänzend,Repágameke,False,,False
RHD-AMEKE-LCTX-0036,RHD-AMEKE-00089,RHD-RREC-000004,RHD-S1809-00623,Glänzend,repágameke,322,,,Glänzend,Glänzend,Repágameke,False,,False
