printed_page,pdf_page,column,reading_order,layout_status,review_method,human_verified,note
318,28,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
318,28,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
319,29,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
319,29,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
320,30,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
320,30,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
321,31,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
321,31,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
322,32,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
322,32,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
323,33,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
323,33,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
324,34,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
324,34,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
325,35,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
325,35,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
326,36,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
326,36,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
327,37,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
327,37,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
328,38,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
328,38,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
329,39,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
329,39,right,2,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
330,40,left,1,visually_confirmed_two_column_ai_assisted,visual_facsimile_layout_ai_assisted,false,Two-column dictionary page; column structure confirmed visually. Article text must be reconstructed from page layout rather than linear OCR order.
