semantic_context_id,adjudication_id,source_candidate_id,priority_tier,signal_type,historical_record_id,historical_form,historical_component,historical_german_gloss,historical_page,modern_record_id,modern_headword,modern_translation,modern_classification,internal_attestation_count,internal_reciprocal_support_count,human_reviewed,semantic_decision
RHD-SEMC-000001,RHD-ADJ-000002,RHD-CORR-000035,1,internal_reciprocal_documentary_support,RHD-S1809-02203,Pugué,Pugué,Warten,364,RD-001857,Pugué,"Tener, poseer (muchos animales)",Vt pl,6,1,false,not_assessed
RHD-SEMC-000002,RHD-ADJ-000005,RHD-CORR-000017,1,internal_reciprocal_documentary_support,RHD-S1809-01939,Jumá,Jumá,"oder Jomá, Alles",359,RD-001183,Juma,Correr,Vi pl,3,1,false,not_assessed
RHD-SEMC-000003,RHD-ADJ-000020,RHD-CORR-000045,1,internal_reciprocal_documentary_support,RHD-S1809-02333,Taní,Taní,Begehren,366,RD-002451,Tani,Rogar,Vt,3,1,false,not_assessed
RHD-SEMC-000004,RHD-ADJ-000003,RHD-CORR-000005,1,internal_reciprocal_documentary_support,RHD-S1809-01700,Búra,Búra,Hirſch,355,RD-000341,Burá,Hacer camino,Vt,2,1,false,not_assessed
RHD-SEMC-000005,RHD-ADJ-000004,RHD-CORR-000011,1,internal_reciprocal_documentary_support,RHD-S1809-01756,Cuná,Cuná,Ehemann,356,RD-000587,Cuná,"Marido, esposo",S,2,1,false,not_assessed
RHD-SEMC-000006,RHD-ADJ-000019,RHD-CORR-000043,1,internal_reciprocal_documentary_support,RHD-S1809-02331,"Taná, oder raná",Taná,"oder raná, Gebähren",366,RD-002448,Tana,Pedir,Vt,2,1,false,not_assessed
RHD-SEMC-000007,RHD-ADJ-000021,RHD-CORR-000046,1,internal_reciprocal_documentary_support,RHD-S1809-02335,Tará,Tará,Zählen,366,RD-002453,Tará,Contar,Vt,2,1,false,not_assessed
RHD-SEMC-000008,RHD-ADJ-000001,RHD-CORR-000004,1,internal_reciprocal_documentary_support,RHD-S1809-01688,Boní,Boní,Schweſter,355,RD-000301,Boní,Hermano menor,S,1,1,false,not_assessed
RHD-SEMC-000009,RHD-ADJ-000013,RHD-CORR-000036,1,internal_reciprocal_documentary_support,RHD-S1809-02228,Raná,Raná,Gebähren,364,RD-001932,Raná,1. vt Parir 2. s Hijo,,1,1,false,not_assessed
RHD-SEMC-000010,RHD-ADJ-000016,RHD-CORR-000039,1,internal_reciprocal_documentary_support,RHD-S1809-02250,Ropá,Ropá,Verlassen,365,RD-002164,Ropá,Estómago,S,1,1,false,not_assessed
RHD-SEMC-000011,RHD-ADJ-000017,RHD-CORR-000042,1,internal_reciprocal_documentary_support,RHD-S1809-02290,Sisí,Sisí,Harnen,365,RD-002349,Sisí,¡Vénganse!,Imper,1,1,false,not_assessed
RHD-SEMC-000012,RHD-ADJ-000018,RHD-CORR-000044,1,internal_reciprocal_documentary_support,RHD-S1809-02331,"Taná, oder raná",raná,"oder raná, Gebähren",366,RD-001932,Raná,1. vt Parir 2. s Hijo,,1,1,false,not_assessed
RHD-SEMC-000013,RHD-ADJ-000009,RHD-CORR-000023,1,internal_form_attestation_only,RHD-S1809-02082,Napé,Napé,Nebeneinander,362,RD-001505,Napé,1. Juntarse 2. Juntarse (casar),Vi,4,0,false,not_assessed
RHD-SEMC-000014,RHD-ADJ-000015,RHD-CORR-000038,1,internal_form_attestation_only,RHD-S1809-02248,Róco,Róco,"Es mangelt, geht ab",365,RD-002110,Rocó,Estar hondo,Vi,3,0,false,not_assessed
RHD-SEMC-000015,RHD-ADJ-000014,RHD-CORR-000037,1,internal_form_attestation_only,RHD-S1809-02229,"Ráje, oder táje",Ráje,"oder táje, s",364,RD-001923,Rajé,Encender ocote (para alumbrar),Vt,2,0,false,not_assessed
RHD-SEMC-000016,RHD-ADJ-000006,RHD-CORR-000020,1,internal_form_attestation_only,RHD-S1809-02042,Muni,Muni,ſ,361,RD-001405,Muní,Frijol,S,1,0,false,not_assessed
RHD-SEMC-000017,RHD-ADJ-000007,RHD-CORR-000021,1,internal_form_attestation_only,RHD-S1809-02043,Múra,Múra,Maulthier,361,RD-001408,Murá,Espiga,S,1,0,false,not_assessed
RHD-SEMC-000018,RHD-ADJ-000008,RHD-CORR-000022,1,cross_corpus_context_only,RHD-S1809-02045,Musí,Musí,wie die Schleihen,361,RD-001420,Musí,"Tipo de pez negro, bargón",S,0,0,false,not_assessed
RHD-SEMC-000019,RHD-ADJ-000010,RHD-CORR-000026,1,cross_corpus_context_only,RHD-S1809-02093,Natépa,Natépa,Finden,362,RD-001557,Natepa,Encontrar,Vt,0,0,false,not_assessed
RHD-SEMC-000020,RHD-ADJ-000011,RHD-CORR-000031,1,cross_corpus_context_only,RHD-S1809-02151,Báca,Báca,ſ,363,RD-000127,Bacá,Carrizo,S,0,0,false,not_assessed
RHD-SEMC-000021,RHD-ADJ-000012,RHD-CORR-000032,1,cross_corpus_context_only,RHD-S1809-02179,Piri?,Piri,Was?,364,RD-001846,Piri,¿Qué?,,0,0,false,not_assessed
RHD-SEMC-000022,RHD-ADJ-000026,RHD-CORR-000040,2,internal_reciprocal_documentary_support,RHD-S1809-02284,Simi,Simi,Gehen,365,RD-002301,Simí,Irse,Vi sg,18,1,false,not_assessed
RHD-SEMC-000023,RHD-ADJ-000027,RHD-CORR-000041,2,internal_reciprocal_documentary_support,RHD-S1809-02284,Simi,Simi,Gehen,365,RD-002302,Simí,Caminar,Vi sg,18,1,false,not_assessed
RHD-SEMC-000024,RHD-ADJ-000022,RHD-CORR-000015,2,internal_reciprocal_documentary_support,RHD-S1809-01914,Iché,Iché,Dieſer,358,RD-001060,Iché,Hay matas de maíz,Vi,7,1,false,not_assessed
RHD-SEMC-000025,RHD-ADJ-000023,RHD-CORR-000016,2,internal_reciprocal_documentary_support,RHD-S1809-01914,Iché,Iché,Dieſer,358,RD-001061,Iché,"Picar, punzar, inyectar",Vt,7,1,false,not_assessed
RHD-SEMC-000026,RHD-ADJ-000032,RHD-CORR-000050,2,internal_reciprocal_documentary_support,RHD-S1809-02491,Upi,Upi,Eheweib,368,RD-002539,Upí,Esposa,S sing,3,1,false,not_assessed
RHD-SEMC-000027,RHD-ADJ-000024,RHD-CORR-000024,2,internal_reciprocal_documentary_support,RHD-S1809-02092,Nateguí,Nateguí,Lohn,362,RD-001556,Nateguí,Cuesta,,2,1,false,not_assessed
RHD-SEMC-000028,RHD-ADJ-000025,RHD-CORR-000025,2,internal_reciprocal_documentary_support,RHD-S1809-02092,Nateguí,Nateguí,Lohn,362,RD-001563,"Natiguí, nateguí","Valer, costar",Vi,2,1,false,not_assessed
RHD-SEMC-000029,RHD-ADJ-000035,RHD-PCORR-000247,2,internal_form_attestation_only,RHD-S1809-02416,Tschapi,Tschapi,Nehmen,367,RD-002493,Tochapi,Pajarito (con pico fino; andan en muchos juntos; vienen en el tiempo de frío),S,7,0,false,not_assessed
RHD-SEMC-000030,RHD-ADJ-000034,RHD-PCORR-000170,2,internal_form_attestation_only,RHD-S1809-02232,Rauguí,Rauguí,Habicht,364,RD-001968,Rasuguí,Fibra de maguey,S,2,0,false,not_assessed
RHD-SEMC-000031,RHD-ADJ-000029,RHD-CORR-000002,2,internal_form_attestation_only,RHD-S1809-01649,Ali oder ari,ari,"Aber, ſ",353,RD-000091,Arí,Tarde,Adv,1,0,false,not_assessed
RHD-SEMC-000032,RHD-ADJ-000030,RHD-CORR-000003,2,internal_form_attestation_only,RHD-S1809-01655,Ari,Ari,"ein Anruf, mit welchem man die belaſteten Maulthiere antreibt",354,RD-000091,Arí,Tarde,Adv,1,0,false,not_assessed
RHD-SEMC-000033,RHD-ADJ-000028,RHD-CORR-000001,2,cross_corpus_context_only,RHD-S1809-00026,Abé,Abé,dort,353,RD-000002,Abé,Hoy,Adv,0,0,false,not_assessed
RHD-SEMC-000034,RHD-ADJ-000031,RHD-CORR-000047,2,cross_corpus_context_only,RHD-S1809-02350,Té,Té,Lauf,366,RD-002462,Te,"Tejer, extender (hilos para tejer)",Vi,0,0,false,not_assessed
RHD-SEMC-000035,RHD-ADJ-000033,RHD-PCORR-000207,2,cross_corpus_context_only,RHD-S1809-02295,Sopeichi,Sopeichi,Fledermaus,365,RD-002386,"Sopichí, supuchí",Murciélago,S,0,0,false,not_assessed
RHD-SEMC-000036,RHD-ADJ-000036,RHD-CORR-000009,2,cross_corpus_context_only,RHD-S1809-01723,Có oder gö,Có,"iſt eine Anhängsſylbe, welche der Bedeutung des Wortes, dem ſie beygeſetzt iſt, einen Nachdruck giebt, z",355,RD-000472,co,Ser (Cuando uno dice: Echirigá ju. Así es. El otro contesta: Echirigá co. Así es.),Vi,0,0,false,not_assessed
RHD-SEMC-000037,RHD-ADJ-000037,RHD-CORR-000010,2,cross_corpus_context_only,RHD-S1809-01723,Có oder gö,Có,"iſt eine Anhängsſylbe, welche der Bedeutung des Wortes, dem ſie beygeſetzt iſt, einen Nachdruck giebt, z",355,RD-000473,co,Picar (chile) Echi co'huáami huabé cóori. Ésa comida estaba muy picante. [pret: cóori; fut.: córama],Vi,0,0,false,not_assessed
RHD-SEMC-000038,RHD-ADJ-000038,RHD-CORR-000018,2,cross_corpus_context_only,RHD-S1809-01987,Lá,Lá,Dahin,360,RD-001189,La,Sangre,S,0,0,false,not_assessed
RHD-SEMC-000039,RHD-ADJ-000039,RHD-CORR-000019,2,cross_corpus_context_only,RHD-S1809-01987,Lá,Lá,Dahin,360,RD-001190,La,Hacer enramada,Vt,0,0,false,not_assessed
RHD-SEMC-000040,RHD-ADJ-000040,RHD-CORR-000027,2,cross_corpus_context_only,RHD-S1809-02101,Né,Né,Ich,362,RD-001573,‘Né,Ver,Vt,0,0,false,not_assessed
RHD-SEMC-000041,RHD-ADJ-000041,RHD-CORR-000028,2,cross_corpus_context_only,RHD-S1809-02101,Né,Né,Ich,362,RD-001574,‘Ne,"Mirar, observar",Vt,0,0,false,not_assessed
RHD-SEMC-000042,RHD-ADJ-000042,RHD-CORR-000029,2,cross_corpus_context_only,RHD-S1809-02147,Pá,Pá,ſ,363,RD-001791,Pa,Traer,Vt,0,0,false,not_assessed
RHD-SEMC-000043,RHD-ADJ-000043,RHD-CORR-000030,2,cross_corpus_context_only,RHD-S1809-02147,Pá,Pá,ſ,363,RD-001792,Pa,Tirar,Vt,0,0,false,not_assessed
RHD-SEMC-000044,RHD-ADJ-000044,RHD-CORR-000033,2,cross_corpus_context_only,RHD-S1809-02202,Pú,Pú,"puhé, Sein, das zueignende Fürwort",364,RD-001854,Pu,Ponerse una faja,Vi,0,0,false,not_assessed
RHD-SEMC-000045,RHD-ADJ-000045,RHD-CORR-000034,2,cross_corpus_context_only,RHD-S1809-02202,Pú,Pú,"puhé, Sein, das zueignende Fürwort",364,RD-001855,Pu’,Faisán,S,0,0,false,not_assessed
RHD-SEMC-000046,RHD-ADJ-000046,RHD-CORR-000048,2,cross_corpus_context_only,RHD-S1809-02401,Tó,Tó,Bringen,367,RD-002489,To,"Llevar, tomar",Vt,0,0,false,not_assessed
RHD-SEMC-000047,RHD-ADJ-000047,RHD-CORR-000049,2,cross_corpus_context_only,RHD-S1809-02401,Tó,Tó,Bringen,367,RD-002490,To,Enterrar,Vt,0,0,false,not_assessed
RHD-SEMC-000048,RHD-ADJ-000048,RHD-CORR-000006,2,cross_corpus_context_only,RHD-S1809-01702,Ca,Ca,"oder guacá, Daher",355,RD-000357,ca,Llevar (en la mano),Vi,0,0,false,not_assessed
RHD-SEMC-000049,RHD-ADJ-000049,RHD-CORR-000007,2,cross_corpus_context_only,RHD-S1809-01702,Ca,Ca,"oder guacá, Daher",355,RD-000358,ca,Traer,Vi,0,0,false,not_assessed
RHD-SEMC-000050,RHD-ADJ-000050,RHD-CORR-000008,2,cross_corpus_context_only,RHD-S1809-01702,Ca,Ca,"oder guacá, Daher",355,RD-000359,ca,Hacer sombra,Vi,0,0,false,not_assessed
RHD-SEMC-000051,RHD-ADJ-000051,RHD-CORR-000012,2,cross_corpus_context_only,RHD-S1809-01763,Cú,Cú,"oder hecú, Zurück",356,RD-000555,Cu,Otra vez,Adv,0,0,false,not_assessed
RHD-SEMC-000052,RHD-ADJ-000052,RHD-CORR-000013,2,cross_corpus_context_only,RHD-S1809-01763,Cú,Cú,"oder hecú, Zurück",356,RD-000556,Cu,"Leña, madera",S,0,0,false,not_assessed
RHD-SEMC-000053,RHD-ADJ-000053,RHD-CORR-000014,2,cross_corpus_context_only,RHD-S1809-01763,Cú,Cú,"oder hecú, Zurück",356,RD-000557,Cu,"1. Comer (esquite, granos enteros, fruta dura). Saquí cubo, vamos a comer esquite. 2. Morder. Ta tohuí biré corí cumiri. El niño mordió un chile.",Vi,0,0,false,not_assessed
RHD-SEMC-000054,RHD-ADJ-000262,RHD-PCORR-000192,3,internal_reciprocal_documentary_support,RHD-S1809-02282,Siká,Siká,"Hauen, zerſchneiden",365,RD-002274,Sicá,Trasquilar,Vt,7,2,false,not_assessed
RHD-SEMC-000055,RHD-ADJ-000263,RHD-PCORR-000193,3,internal_reciprocal_documentary_support,RHD-S1809-02282,Siká,Siká,"Hauen, zerſchneiden",365,RD-002275,Sicá,Brazo,Vt,7,2,false,not_assessed
RHD-SEMC-000056,RHD-ADJ-000264,RHD-PCORR-000194,3,internal_reciprocal_documentary_support,RHD-S1809-02282,Siká,Siká,"Hauen, zerſchneiden",365,RD-002296,Simá,Irse,Vi pl,7,2,false,not_assessed
